Number,Trial,Treatment,Room,Bucket,Plant,DryRootWeightBag,DryPlantWeightBag,DryRoot,DryPlant,RootShoot
146,Summer,Bee,c,5,14,9.0953,10.5839,2.0283,3.5169,0.576729506
147,Summer,Bee,c,5,15,8.9748,9.6136,1.9078,2.5466,0.749155737
148,Summer,Bee,c,5,16,8.4286,10.1524,1.3616,3.0854,0.441304207
149,Summer,Bee,c,5,18,7.8965,7.9494,0.8295,0.8824,0.940049864
150,Summer,Control,b,4,3,8.877,7.8591,1.81,0.7921,2.285065017
151,Summer,Control,b,4,5,8.1328,10.4797,1.0658,3.4127,0.312304041
152,Summer,Control,b,4,6,8.735,10.4117,1.668,3.3447,0.498699435
153,Summer,Control,b,4,7,8.1694,8.6277,1.1024,1.5607,0.706349715
154,Summer,Control,b,4,8,8.9594,9.6569,1.8924,2.5899,0.730684582
155,Summer,Control,b,4,9,8.5422,9.0175,1.4752,1.9505,0.756318893
156,Summer,Control,b,4,10,7.8219,8.0288,0.7549,0.9618,0.784882512
157,Summer,Control,b,4,11,8.8241,9.5159,1.7571,2.4489,0.717505819
158,Summer,Control,b,4,12,7.7275,8.0314,0.6605,0.9644,0.684881792
159,Summer,Control,b,4,13,8.4602,9.502,1.3932,2.435,0.572156057
160,Summer,Control,b,4,14,7.8255,7.445,0.7585,0.378,2.006613757
161,Summer,Control,b,4,15,7.9937,7.926,0.9267,0.859,1.078812573
162,Summer,Control,b,4,16,8.2592,8.8538,1.1922,1.7868,0.667226326
163,Summer,Control,b,4,17,7.6715,7.8037,0.6045,0.7367,0.820551106
164,Summer,Control,b,4,18,8.0322,7.7188,0.9652,0.6518,1.480822338
165,Summer,Control,b,4,19,8.6091,10.1344,1.5421,3.0674,0.502738476
166,Summer,Control,b,4,20,7.9036,7.9372,0.8366,0.8702,0.961388187
167,Summer,Control,b,3,5,7.6776,7.1784,0.6106,0.1114,5.481149013
168,Summer,Control,b,3,6,9.0404,6.8811,1.9734,-0.1859,-10.61538462
169,Summer,Control,b,3,7,8.5026,8.8695,1.4356,1.8025,0.796449376
